序号,样本ID,公司,证券代码,行业,市场,披露时间,时间精度,公告标题,原文链接,核心观点,H1-需求与出货,H2-盈利质量,H3-产能与扩张,事件摘要,事件类别,主要关联假设,影响方向,影响强度,直接性,关键证据原文,判断理由,置信度,数据问题,标注人ID,标注时间,gold_source,gold_version
11,G3-E007,药明康德,603259,医药,A股,2024-03-19T00:00:00+08:00,仅日期（按盘后处理）,关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止）,http://static.cninfo.com.cn/finalpage/2024-03-19/1219331371.PDF,全球医药研发外包龙头，订单随创新药投入周期波动，地缘政治与产能利用率是核心风险点,CXO 订单与在手订单随全球创新药研发投入回暖恢复增长,产能利用率与项目结构支撑毛利率，不因价格竞争持续走低,新增产能与地缘政治风险可控，海外基地建设按计划推进,公司披露关于募集资金存放与实际使用情况的专项报告及审核报告（截至2023年12月31日止），核心事实为：补充流动资金的议案》，同意公司将 A 股首次公开发行募 投项目整体结项并将节余募集资金永久补充流动资金。截至 2023 年 12 月 31 日，上述节余募集资 金永久补充流动资金已完成，公司已注销相关募集资金专户。公司与保荐机构、 A 股首次公开发 行子公司、开户银行签署的相关募集资金专户存储监管协议已随之终止,产能/资本开支,H3-产能与扩张,支持,高,直接,第4页：补充流动资金的议案》，同意公司将 A 股首次公开发行募 投项目整体结项并将节余募集资金永久补充流动资金。截至 2023 年 12 月 31 日，上述节余募集资 金永久补充流动资金已完成，公司已注销相关募集资金专户。公司与保荐机构、 A 股首次公开发 行子公司、开户银行签署的相关募集资金专户存储监管协议已随之终止,募集资金项目已累计投入并披露扩建项目达到预计效益，直接验证既定扩产项目执行与产出，足以对产能扩张假设形成高强度支持。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
12,G3-E086,恒瑞医药,600276,医药,A股,2026-05-20T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于获得药品注册批准的公告,http://static.cninfo.com.cn/finalpage/2026-05-20/1225315769.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于获得药品注册批准的公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-075 江苏恒瑞医药股份有限公司 关于获得药品注册批准的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司福…,研发/注册,H3-产能与扩张,支持,高,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2026-075 江苏恒瑞医药股份有限公司 关于获得药品注册批准的公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）子公司福建盛迪医 药有限公司收到国家药品监督管理局（以下简称“国家药监局”）的通知，批准 公司ω-3 甘油三酯（2%）中/长链脂肪乳/氨基酸（16）/葡萄糖（30%）注射液上 市。现将相关情况公告如下： 一、药品的基本情况 药品名称：ω-3 甘油三酯（2%）中/长链脂肪乳/氨基酸（16）,相关注射液获国家药监局批准上市，是明确完成的注册里程碑，直接验证管线推进并降低品种失败风险，主要关联H3且强度高。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
13,G3-E014,小鹏汽车,09868,新能源汽车,港股,2024-04-02T12:07:33+08:00,精确,自愿公告 2024年3月及第一季度智能车交付数据,http://static.cninfo.com.cn/finalpage/2024-04-02/1219499685.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,"公司披露自愿公告 2024年3月及第一季度智能车交付数据，核心事实为：Peng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年3月及第一季度 車輛交付數據。 2024年3月，小鵬汽車共交付智能電動汽車9,026輛，環比增長99%，同比增長29%。其 中，小鵬X9交付3,946輛，上市以來累計交付近8000輛，蟬聯中國純電MPV銷量冠軍。 2024年第一季度，小鵬汽車累…",产销/需求,H1-需求与出货,支持,高,直接,"第1页：Peng Inc. （「本公司」或「小鵬汽車」）之董事會欣然宣佈其2024年3月及第一季度 車輛交付數據。 2024年3月，小鵬汽車共交付智能電動汽車9,026輛，環比增長99%，同比增長29%。其 中，小鵬X9交付3,946輛，上市以來累計交付近8000輛，蟬聯中國純電MPV銷量冠軍。 2024年第一季度，小鵬汽車累計交付共21,821輛智能電動車，同比增長20%。 此外，XNGP城區智駕月度活躍用戶滲透率達82%，無限XNGP向智駕經驗用戶開放規 模在中國持續擴大。此外，經過小鵬團隊多輪安全測試認證的XNGP全量開放路線也在 持續增加中，以提供更優質的用戶體驗。 2024年3月，小鵬汽車宣…",2024年3月交付同比增长29%，一季度累计交付同比增长20%，均为直接的车辆交付结果，清晰验证需求回升，构成高强度支持。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
14,G3-E095,北方华创,002371,芯片半导体,A股,2025-02-18T00:00:00+08:00,仅日期（按盘后处理）,关于向全资子公司增资并参与设立北京集成电路装备产业投资并购二期基金暨关联交易的进展公告,http://static.cninfo.com.cn/finalpage/2025-02-18/1222558599.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,公司披露关于向全资子公司增资并参与设立北京集成电路装备产业投资并购二期基金暨关联交易的进展公告，核心事实为：证券代码：002371 证券简称：北方华创 公告编号：2025-003 北方华创科技集团股份有限公司 关于向全资子公司增资并参与设立北京集成电路装备产业 投资并购二期基金暨关联交易的进展公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整， 没有虚 假记载、误导性陈述或者重大遗漏。 北方华创科技集团股份有限公…,产能/资本开支,H3-产能与扩张,支持,低,间接,第1页：证券代码：002371 证券简称：北方华创 公告编号：2025-003 北方华创科技集团股份有限公司 关于向全资子公司增资并参与设立北京集成电路装备产业 投资并购二期基金暨关联交易的进展公告 本公司及董事会全体成员保证信息披露的内容真实、准确、完整， 没有虚 假记载、误导性陈述或者重大遗漏。 北方华创科技集团股份有限公司（以下简称“公司”）于 2024 年 12 月 16 日召开了第八届董事会第十八次会议，审议通过了《关于向全资子公司增资并参 与设立北京集成电路装备产业投资并购二期基金暨关联交易的议案》，同意向全 资子公司北方华创创新投资（北京）有限公司（以下简称“华创创投”）增资 5.1 亿…,增资子公司并参与设立装备产业并购基金可间接增强产业投资与并购能力，但尚未形成具体产能或交付成果，对H3仅构成低强度、间接支持。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
15,G3-E065,吉利汽车,00175,新能源汽车,港股,2024-07-19T16:42:18+08:00,精确,补充公布授出认股权,http://static.cninfo.com.cn/finalpage/2024-07-19/1220688951.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,公告披露补充公布授出认股权相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：香港交易及結算所有限公司及香港聯合交易所有限公司對本公佈之內容概不負責，對其 準確性或完整性亦不發表任何聲明，並表明不會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
16,G3-E100,兆易创新,603986,芯片半导体,A股,2026-05-27T00:00:00+08:00,仅日期（按盘后处理）,兆易创新关于调整2024年股票期权激励计划相关事项的公告,http://static.cninfo.com.cn/finalpage/2026-05-27/1225331853.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公告披露兆易创新关于调整2024年股票期权激励计划相关事项的公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：兆易创新科技集团股份有限公司（以下简称“公司”）于 2026年 5月 26 日召开的第五届董事会第十二次会议审议通过《关于调整 2024年股票期权激励 计划相关事项的议案》，现将有关事项说明如下： 一、2024 年股票期权激励计划已履行的相关审批程序 1．2024年 4月 18日，公司第四届董事会第十八次会议审议通过了《关于< 兆易创新科技集团股份有限公司 2024年股票期权激励计划（草案）>及其摘要的 议案》《关于<兆易创新科技集团股份有限公司 2024年股票期权激励计划实施考 核管理办法>的议案》《关于提请股东大会授权董事会办理 2024年股票期权激励 计划相关事宜的议案》。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
17,G3-E041,云南白药,000538,医药,A股,2025-12-31T18:54:32+08:00,精确,关于2026年度预计日常关联交易的公告,http://static.cninfo.com.cn/finalpage/2025-12-31/1224913542.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,公司披露关于2026年度预计日常关联交易的公告，核心事实为：因不可控因素所致，公司将一如既往地严控关联交 易，保证公平、公正，价格公允。 公司独立董事对日常关联交 易实际发生情况与预计存在 较大差异的说明 我们对 2025 年度日常关联交易实际发生金额与预计金额差异较大 的情况进行了核查，经核查，我们认为：公司对 2025 年度实际发生的 日常关联交易的说明解释符合市场行情和公…,订单/合同,H1-需求与出货,中性,低,间接,第2页：因不可控因素所致，公司将一如既往地严控关联交 易，保证公平、公正，价格公允。 公司独立董事对日常关联交 易实际发生情况与预计存在 较大差异的说明 我们对 2025 年度日常关联交易实际发生金额与预计金额差异较大 的情况进行了核查，经核查，我们认为：公司对 2025 年度实际发生的 日常关联交易的说明解释符合市场行情和公司的实际情况，已发生的 日常关联交易均为公司正常经营业务所需的交易，符合公司的经营和 发展战略要求，符合法律法规的规定。虽然实际发生金额因业务需求 等客观原因与原预计金额上限存在差异，但该等差异的出现确实因不 可控因素所致，已发生的日常关联交易公平、公正，交易价格公允， 不存在损…,日常关联交易金额及下一年度预计属于正常经营安排，可弱关联渠道与业务需求，但无法直接证明终端需求或出货变化，故为间接、低强度中性证据。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
18,G3-E116,云南白药,000538,医药,A股,2025-06-26T00:00:00+08:00,仅日期（按盘后处理）,第十届董事会2025年第三次会议决议公告,http://static.cninfo.com.cn/finalpage/2025-06-26/1223980920.PDF,中药与健康消费品，增长平稳，毛利率与渠道结构是主要观察点，历史上曾因证券投资造成业绩波动,工业药品与健康品渠道保持稳定，不出现持续负增长,毛利率随产品结构与原料成本波动，不持续低于历史区间,渠道与品牌投入保持，不出现商誉或投资大额减值,公告披露第十届董事会2025年第三次会议决议公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：云南白药集团股份有限公司（以下简称“公司”）第十届董事会2025 年 第三次会议（以下简称“会议”）于2025 年 6 月 25 日以通讯表决的方式召 开，本次会议通知于2025 年 6 月 22 日以书面、邮件方式发出，应出席董事 11 名，实际出席董事11 名。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
19,G3-E080,恒瑞医药,600276,医药,A股,2025-12-03T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药关于药品上市许可申请获受理的提示性公告,http://static.cninfo.com.cn/finalpage/2025-12-03/1224843478.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,公司披露恒瑞医药关于药品上市许可申请获受理的提示性公告，核心事实为：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2025-192 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司…,研发/注册,H3-产能与扩张,支持,低,直接,第1页：证券代码：600276 证券简称：恒瑞医药 公告编号：临 2025-192 江苏恒瑞医药股份有限公司 关于药品上市许可申请获受理的提示性公告 本公司董事会及全体董事保证本公告内容不存在任何虚假记载、误导性陈述 或者重大遗漏，并对其内容的真实性、准确性和完整性承担法律责任。 近日，江苏恒瑞医药股份有限公司（以下简称“公司”）收到国家药品监督 管理局（以下简称“国家药监局”）下发的《受理通知书》，公司注射用甲苯磺 酸瑞马唑仑的药品上市许可申请获国家药监局受理。现将相关情况公告如下： 一、药品的基本情况 药品名称：注射用甲苯磺酸瑞马唑仑 剂型：注射剂 受理号：CXHS2500146 申报阶段：上市…,该事实直接观察到相关指标或里程碑，提高“研发投入强度维持，管线推进不出现关键品种研发失败”的可信度。,4,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
20,G3-E064,吉利汽车,00175,新能源汽车,港股,2025-02-14T16:36:12+08:00,精确,完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本,http://static.cninfo.com.cn/finalpage/2025-02-14/1222544267.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,公司披露完成须予披露及关连交易(1)极氪收购领克销售股份；及(2)极氪认购领克新增资本，核心事实为：會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTO MOBILE HOL DINGS LIMI TED 175 80175 完成須予披露及關連交易 (1)極氪收購領克銷售股份；及 (2)極氪認購領克新增資本 茲提述吉利汽車控股有限公司 （ 「本公司」 ） 日期為二…,产能/资本开支,H3-产能与扩张,支持,高,直接,第1页：會就因本公佈全部或任何部份內容而產生 或因倚賴該等內容而引致之任何損失承擔任何責任。 GEELY AUTO MOBILE HOL DINGS LIMI TED 175 80175 完成須予披露及關連交易 (1)極氪收購領克銷售股份；及 (2)極氪認購領克新增資本 茲提述吉利汽車控股有限公司 （ 「本公司」 ） 日期為二零二四年十一月十四日之公佈 （ 「該公 佈」 ） 及日期為二零二四年十二月二十日之通函 （ 「該通函」 ） ，內容有關須予披露及關連交 易 （即領克收購事項及領克注資事項） 。除文義另有所指外，本公佈所用詞彙與該公佈及 該通函所界定者具有相同涵義。 本公司董事會 （ 「董事會」…,该事实直接观察到相关指标或里程碑，提高“品牌与平台整合按计划推进，不出现大额整合损失”的可信度。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
21,G3-E102,恒瑞医药,600276,医药,A股,2026-04-23T00:00:00+08:00,仅日期（按盘后处理）,恒瑞医药2026年第一季度报告,http://static.cninfo.com.cn/finalpage/2026-04-23/1225145521.PDF,创新药转型期，创新药放量与对外授权接续仿制药集采缺口，毛利率高但集采与研发成败是关键观察点,创新药放量与授权合作收入接续仿制药集采下滑，研发管线持续推进,创新药占比提升支撑高毛利率，集采降价不导致盈利持续恶化,研发投入强度维持，管线推进不出现关键品种研发失败,"公司披露恒瑞医药2026年第一季度报告，核心事实为：第一季度财务报表是否经审计 □是 √否 一、主要财务数据 (一)主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 8,140,565,320.77 7,205,611,122.72 12.98 利润总额 2,556,862,055.54 2,07…",收入/利润,H1-需求与出货,支持,高,直接,"第1页：第一季度财务报表是否经审计 □是 √否 一、主要财务数据 (一)主要会计数据和财务指标 单位：元 币种：人民币 项目 本报告期 上年同期 本报告期比上年同 期增减变动幅度(%) 营业收入 8,140,565,320.77 7,205,611,122.72 12.98 利润总额 2,556,862,055.54 2,075,603,711.83 23.19 归属于上市公司股东的净利润 2,282,268,233.13 1,874,055,519.98 21.78 归属于上市公司股东的扣除非 经常性损益的净利润 2,172,398,804.54 1,863,286,591.29 16.59 经营活…",一季度创新药销售收入45.26亿元、同比增长25.75%，占药品销售收入61.69%，最直接验证创新药放量与收入接续，因此主要关联H1并构成高强度支持。,5,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
22,G3-E004,兆易创新,603986,芯片半导体,A股,2026-07-30T00:00:00+08:00,仅日期（按盘后处理）,兆易创新股东增持股份计划公告,http://static.cninfo.com.cn/finalpage/2026-07-30/1225447344.PDF,存储与 MCU 设计商，需求随下游复苏与库存去化回升，毛利率对存储价格周期高度敏感，需跟踪产品结构,存储与 MCU 需求随消费电子与工业复苏回升，库存周期见底,毛利率随产品结构改善回升，不因存储价格波动持续走低,新品研发与产能储备按计划推进，不出现存货大额跌价,公告披露兆易创新股东增持股份计划公告相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：重要内容提示：  增持主体的基本情况：本次增持主体为兆易创新科技集团股份有限公司（以 下简称“公司”）控股股东、实际控制人朱一明先生。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
23,G3-E107,小鹏汽车,09868,新能源汽车,港股,2025-08-22T21:24:11+08:00,精确,重续持续关连交易 与广东汇天签订2026年合作框架协议,http://static.cninfo.com.cn/finalpage/2025-08-22/1224561663.PDF,新势力整车厂，交付量与车型周期决定收入，毛利率从负值修复中，盈利质量仍是主要风险。港股仅披露中报与年报，季度颗粒度不足,智能车交付量保持增长，新车型周期带动需求回升,毛利率随规模与技术服务收入改善，不回落到历史低位,研发与产能投入可持续，现金流不出现明显恶化,公司披露重续持续关连交易 与广东汇天签订2026年合作框架协议，核心事实为：產生或因依賴該等內容而引致之任何損失承擔任何責任。 （於開曼群島註冊成立以不同投票權控制的有限公司） （股份代號：9868） 重續持續關連交易 與廣東匯天簽訂 2026 年合作框架協議 與廣東匯天訂立2026年合作框架協議 茲提述本公司日期為 2024 年 1 月 2 日的公告，內容有關與廣東匯天訂立 2024 年合作…,订单/合同,H2-盈利质量,支持,中,间接,第1页：產生或因依賴該等內容而引致之任何損失承擔任何責任。 （於開曼群島註冊成立以不同投票權控制的有限公司） （股份代號：9868） 重續持續關連交易 與廣東匯天簽訂 2026 年合作框架協議 與廣東匯天訂立2026年合作框架協議 茲提述本公司日期為 2024 年 1 月 2 日的公告，內容有關與廣東匯天訂立 2024 年合作框架協議，該 協議將於 2025 年 12 月 31 日結束。 董事會宣佈，於2025 年8 月22 日，廣東小鵬與廣東匯天訂立2026年合作框架協議，将於2026年1 月1 日生效至2028年12 月31 日，據此，廣東小鵬及廣東匯天同意在飛行汽車的研發、製造、銷售 及售後服務…,与广东汇天续签研发、制造、销售及售后合作框架并设置9亿元年度上限，可间接带来技术与服务收入；但上限不等于实际收入或毛利，故为间接、中强度支持。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
24,G3-E059,北方华创,002371,芯片半导体,A股,2025-10-31T00:00:00+08:00,仅日期（按盘后处理）,募集资金管理办法（2025年10月),http://static.cninfo.com.cn/finalpage/2025-10-31/1224774330.PDF,前道设备国产化核心标的，晶圆厂扩产与国产化率提升支撑订单与收入，需跟踪毛利率与交付节奏,半导体设备订单随晶圆厂扩产与国产化率提升保持增长,规模效应与国产化推进支撑毛利率，不因竞争加剧显著下滑,产能与交付能力跟上订单增长，合同负债转化不出现明显滞后,公告披露募集资金管理办法（2025年10月)相关的治理、证券或程序性事项，未形成新的核心经营结果。,治理/其他,无关,无关,不适用,不适用,第1页：北方华创科技集团股份有限公司 募集资金管理办法 （2025 年 10 月 30 日，经第八届董事会第二十八次会议审议通过） 第一章 总则 第一条 为了规范北方华创科技集团股份有限公司（以下简称“公司”）募集资 金的管理和运用，保护投资者的权益，提高募集资金使用效率，依据《中华人民共 和国公司法》《中华人民共和国证券法》《上市公司募集资金监管规则》《深圳证 券交易所股票上市规则》等相关法律、法规、规范性文件和《北方华创科技集团股 份有限公司章程》（以下简称“《公司章程》”）的相关规定，并结合公司实际， 制定本办法。,该事项未新增销量、收入、毛利率、研发里程碑、产能或重大减值等核心指标，不改变三条投资假设。,5,无,A,20260826T141039+08:00,A/B-agreed,final-gold-v3-20260826
25,G3-E018,吉利汽车,00175,新能源汽车,港股,2024-02-20T16:50:24+08:00,精确,关连交易出售睿蓝汽车之股权,http://static.cninfo.com.cn/finalpage/2024-02-20/1219142414.PDF,新能源转型见效，销量与出口双增长支撑收入，平台整合与毛利率改善是核心观察点。港股披露频率低于 A 股,新能源车型销量放量带动整体销量增长，出口贡献增量,平台化与规模效应改善毛利率，新能源转型不持续拖累盈利,品牌与平台整合按计划推进，不出现大额整合损失,"公司披露关连交易出售睿蓝汽车之股权，核心事实为：易時段後） ，本公司附屬公司浙江吉潤與吉利啟征訂立股 權轉讓協議，據此，浙江吉潤同意出售及吉利啟征同意購買睿藍汽車之45%股權，現 金代價為人民幣504,000,000元。出售事項完成後，本集團將不再擁有睿藍汽車之任何 股權，且預計本集團將錄得出售事項收益約人民幣117,000,000元。 上市規則之涵義 於本公佈日期…",产能/资本开支,H3-产能与扩张,中性,中,直接,"第1页：易時段後） ，本公司附屬公司浙江吉潤與吉利啟征訂立股 權轉讓協議，據此，浙江吉潤同意出售及吉利啟征同意購買睿藍汽車之45%股權，現 金代價為人民幣504,000,000元。出售事項完成後，本集團將不再擁有睿藍汽車之任何 股權，且預計本集團將錄得出售事項收益約人民幣117,000,000元。 上市規則之涵義 於本公佈日期，吉利啟征由李先生及其聯繫人最終實益全資擁有。於本公佈日期，李 先生為執行董事兼持有本公司已發行股本約41.19%之主要股東，並為本公司之關連人 士。因此，吉利啟征為本公司之關連人士，且根據上市規則，股權轉讓協議項下擬進 行之交易構成本公司之關連交易。 由於股權轉讓協議及其項下擬…",出售睿蓝汽车45%股权并退出持股是直接的品牌与资产整合事项，但仅披露交易及预计处置收益，尚不能判断整合是否按计划或会否产生后续损失，方向取中性。,4,无,ADJ-CODEX-FIN-01,2026-08-26T16:23:44+08:00,adjudicated,final-gold-v3-20260826
